USD_Rate
96.3344
96.3411
96.6199
97.5383
97.8439
98.1961
97.9241
96.5083
94.7035
95.9794
96.1609
96.6338
96.6472
96.2236
96.6172
96.0762
96.0419
96.1456
96.2378
96.5
97.0018
97.4147
